station_uid,station_num,routes,direction,station,lat,lon,station_uid2,station_num2,station2,lat2,lon2,distance_km
119_1_8,119,8,1,ปั๊มเติมน้ำมันเชล,13.785559,100.610547,120_1_8,120,บิ๊กซี ซอย 83,13.784499,100.612442,0.2361612868314754
120_1_8,120,8,1,บิ๊กซี ซอย 83,13.784499,100.612442,121_1_8,121,ตรงข้าม ลาดพร้าว ซอย 106,13.783006,100.615112,0.332717507438542
121_1_8,121,8,1,ตรงข้าม ลาดพร้าว ซอย 106,13.783006,100.615112,122_1_8,122,ลาดพร้าว ซอย 89,13.780875,100.618932,0.47574550473911187
122_1_8,122,8,1,ลาดพร้าว ซอย 89,13.780875,100.618932,123_1_8,123,โรงพยาบาลลาดพร้าว 1,13.780002,100.620514,0.19649902608684108
123_1_8,123,8,1,โรงพยาบาลลาดพร้าว 1,13.780002,100.620514,124_1_8,124,โรงพยาบาลลาดพร้าว 2,13.77837,100.623433,0.36373853129837624
124_1_8,124,8,1,โรงพยาบาลลาดพร้าว 2,13.77837,100.623433,125_1_8,125,ปั๊มเติมน้ำมันเอสโซ่,13.777339,100.625249,0.2271689492818596
125_1_8,125,8,1,ปั๊มเติมน้ำมันเอสโซ่,13.777339,100.625249,126_1_8,126,ตรงข้าม ลาดพร้าว ซอย 128,13.77607,100.627548,0.28557894444610105
126_1_8,126,8,1,ตรงข้าม ลาดพร้าว ซอย 128,13.77607,100.627548,127_1_8,127,ลาดพร้าว ซอย 101,13.774491,100.630312,0.3463106635273574
127_1_8,127,8,1,ลาดพร้าว ซอย 101,13.774491,100.630312,128_1_8,128,ลาดพร้าว ซอย 101/2,13.773877,100.631478,0.14324216847192775
128_1_8,128,8,1,ลาดพร้าว ซอย 101/2,13.773877,100.631478,129_1_8,129,ลาดพร้าว ซอย 105,13.772403,100.634126,0.3296162891073875
129_1_8,129,8,1,ลาดพร้าว ซอย 105,13.772403,100.634126,130_1_8,130,ตรงข้ามโตโยต้า,13.770912,100.636776,0.3307487663361111
130_1_8,130,8,1,ตรงข้ามโตโยต้า,13.770912,100.636776,131_1_8,131,ลาดพร้าว ซอย 111/1,13.769907,100.638564,0.2231068162281375
131_1_8,131,8,1,ลาดพร้าว ซอย 111/1,13.769907,100.638564,132_1_8,132,แฮปปี้แลนด์,13.76871,100.641807,0.37468011390867556
0_0_28,0,28,0,มโนราห์,13.7896,100.427,1_0_28,1,บรมราชชนนี56,13.7813,100.428,0.929214556634147
1_0_28,1,28,0,บรมราชชนนี56,13.7813,100.428,2_0_28,2,ตลิ่งชัน,13.7809,100.432,0.43425957246537683
2_0_28,2,28,0,ตลิ่งชัน,13.7809,100.432,3_0_28,3,ศาลแขวง,13.7803,100.439,0.7588975890268276
3_0_28,3,28,0,ศาลแขวง,13.7803,100.439,4_0_28,4,วัดทอง,13.7805,100.443,0.43254916158990664
4_0_28,4,28,0,วัดทอง,13.7805,100.443,5_0_28,5,ตรงข้ามสน.ตลิ่งชัน,13.781,100.445,0.2230291221356992
5_0_28,5,28,0,ตรงข้ามสน.ตลิ่งชัน,13.781,100.445,6_0_28,6,สนามกอล์ฟ,13.7833,100.453,0.9010065727305294
6_0_28,6,28,0,สนามกอล์ฟ,13.7833,100.453,7_0_28,7,โรงปูน,13.7845,100.457,0.4521097449350879
7_0_28,7,28,0,โรงปูน,13.7845,100.457,8_0_28,8,ชัยพฤกษ์,13.7861,100.462,0.5685151488891226
8_0_28,8,28,0,ชัยพฤกษ์,13.7861,100.462,9_0_28,9,สายใต้เก่า,13.7855,100.471,0.9742131478049081
9_0_28,9,28,0,สายใต้เก่า,13.7855,100.471,10_0_28,10,โรงพยาบาลเจ้าพระยา,13.7839,100.472,0.208122491263644
10_0_28,10,28,0,โรงพยาบาลเจ้าพระยา,13.7839,100.472,11_0_28,11,ฟู้ดแลนด์ ปิ่นเกล้า,13.7818,100.474,0.31808283078132066
11_0_28,11,28,0,ฟู้ดแลนด์ ปิ่นเกล้า,13.7818,100.474,12_0_28,12,ลุมพินี,13.7806,100.475,0.17166039665369875
12_0_28,12,28,0,ลุมพินี,13.7806,100.475,13_0_28,13,เมเจอร์ ปิ่นเกล้า,13.7779,100.478,0.4417032158509978
13_0_28,13,28,0,เมเจอร์ ปิ่นเกล้า,13.7779,100.478,14_0_28,14,โลตัส ปินเกล้า,13.7767,100.479,0.17166153079384394
14_0_28,14,28,0,โลตัส ปินเกล้า,13.7767,100.479,15_0_28,15,สามห้าโบ1,13.775,100.481,0.2870291430687464
15_0_28,15,28,0,สามห้าโบ1,13.775,100.481,16_0_28,16,สามห้าโบ2,13.7747,100.483,0.21855446789786492
16_0_28,16,28,0,สามห้าโบ2,13.7747,100.483,17_0_28,17,ตลาดอินดี้,13.7775,100.485,0.3789313554166668
17_0_28,17,28,0,ตลาดอินดี้,13.7775,100.485,18_0_28,18,พงษ์ทรัพย์ จรัญ57,13.779,100.487,0.2728948719843716
